,android_avg_rating,android_total_ratings,android_ratings_1,android_ratings_2,android_ratings_3,android_ratings_4,android_ratings_5,ios_current_ratings,ios_all_ratings
2016-07-21 00:00:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 00:10:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 00:20:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 00:30:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 00:40:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 00:50:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 01:00:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 01:10:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 01:20:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 01:30:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 01:40:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 01:50:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 02:00:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 02:10:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 02:20:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 02:30:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 02:40:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 02:50:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 03:00:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 03:10:00,3.9,1281802,199974,71521,117754,165956,726597,4688.0,106508
2016-07-21 03:20:00,3.9,1281802,199974,71521,117754,165956,726597,5668.0,107460
2016-07-21 03:30:00,3.9,1281802,199974,71521,117754,165956,726597,5668.0,106508
2016-07-21 03:40:00,3.9,1281802,199974,71521,117754,165956,726597,5668.0,107460
2016-07-21 03:50:00,3.9,1281802,199974,71521,117754,165956,726597,5668.0,107460
2016-07-21 04:00:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 04:10:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 04:20:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 04:30:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 04:40:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 04:50:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 05:00:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 05:10:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 05:20:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 05:30:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 05:40:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 05:50:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 06:00:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 06:10:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 06:20:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 06:30:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 06:40:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 06:50:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 07:00:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 07:10:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 07:20:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 07:30:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 07:40:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 07:50:00,3.9,1292537,201095,71943,118795,167748,732956,5668.0,107460
2016-07-21 08:00:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 08:10:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 08:20:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 08:30:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 08:40:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 08:50:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 09:00:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 09:10:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 09:20:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 09:30:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 09:40:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 09:50:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 10:00:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 10:10:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 10:20:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 10:30:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 10:40:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 10:50:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107460
2016-07-21 11:00:00,3.9,1305525,202746,72566,119998,169779,740436,5668.0,107972
2016-07-21 11:10:00,3.9,1305525,202746,72566,119998,169779,740436,6203.0,107460
2016-07-21 11:20:00,3.9,1305525,202746,72566,119998,169779,740436,6203.0,107972
2016-07-21 11:30:00,3.9,1305525,202746,72566,119998,169779,740436,6203.0,107972
2016-07-21 11:40:00,3.9,1305525,202746,72566,119998,169779,740436,6203.0,107972
2016-07-21 11:50:00,3.9,1305525,202746,72566,119998,169779,740436,6203.0,107972
2016-07-21 12:00:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 12:10:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 12:20:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 12:30:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 12:40:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 12:50:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 13:00:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 13:10:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 13:20:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 13:30:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 13:40:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 13:50:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 14:00:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 14:10:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 14:20:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 14:30:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 14:40:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 14:50:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 15:00:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,107972
2016-07-21 15:10:00,3.9,1319394,204585,73093,121282,171872,748562,6203.0,108570
2016-07-21 15:20:00,3.9,1319394,204585,73093,121282,171872,748562,6842.0,108570
2016-07-21 15:30:00,3.9,1319394,204585,73093,121282,171872,748562,6842.0,108570
2016-07-21 15:40:00,3.9,1319394,204585,73093,121282,171872,748562,6842.0,108570
